epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,304.77,0.41416,0.87474,1.92809,0.87747,1,0.15062,0.63031,0.57397,1,0.15062,0.63031,0.55242,0.37395,0.74314,3.12023,0.88283,9.24352e-05,9.24352e-05,9.24352e-05
42,311.867,0.43816,0.74532,1.87362,1.01085,1,0.15062,0.63031,0.57397,1,0.15062,0.63031,0.55242,0.37395,0.74314,3.12023,0.88283,8.5727e-05,8.5727e-05,8.5727e-05
43,319.526,0.42255,0.7392,1.80196,1.0214,1,0.09757,0.66537,0.62541,1,0.09757,0.66537,0.5996,0.35662,0.68932,3.0696,0.87432,7.85788e-05,7.85788e-05,7.85788e-05
44,326.816,0.57393,0.78899,2.00841,1.23242,1,0.09757,0.66537,0.62541,1,0.09757,0.66537,0.5996,0.35662,0.68932,3.0696,0.87432,7.09907e-05,7.09907e-05,7.09907e-05
45,333.936,0.54371,0.78266,1.9463,1.19801,1,0.12863,0.65982,0.6342,1,0.12863,0.65982,0.59238,0.34057,0.65896,3.02966,0.85673,6.29626e-05,6.29626e-05,6.29626e-05
46,340.862,0.57805,0.84069,2.0664,1.22186,1,0.12863,0.65982,0.6342,1,0.12863,0.65982,0.59238,0.34057,0.65896,3.02966,0.85673,5.44945e-05,5.44945e-05,5.44945e-05
47,347.926,0.634,0.78098,2.09912,1.29758,0.99511,0.15,0.66425,0.63376,0.99511,0.15,0.66425,0.60047,0.33409,0.64172,2.99621,0.84486,4.55866e-05,4.55866e-05,4.55866e-05
48,354.869,0.3936,0.65507,1.69255,1.06261,0.99511,0.15,0.66425,0.63376,0.99511,0.15,0.66425,0.60047,0.33409,0.64172,2.99621,0.84486,3.62386e-05,3.62386e-05,3.62386e-05
49,362.099,0.57497,0.84117,1.92836,1.28197,0.99086,0.15,0.66495,0.63244,0.99086,0.15,0.66495,0.60684,0.33085,0.62957,2.96455,0.8394,2.64507e-05,2.64507e-05,2.64507e-05
50,369.149,0.43009,0.64964,1.87701,1.03278,0.99086,0.15,0.66495,0.63244,0.99086,0.15,0.66495,0.60684,0.33085,0.62957,2.96455,0.8394,1.62228e-05,1.62228e-05,1.62228e-05
1,14.8637,0.93931,2.90539,3.59707,1.48715,0.00444,0.95,0.07089,0.03344,0.00376,0.9,0.07176,0.04205,0.78381,1.73794,3.98613,1.3197,0,0,0
2,22.3859,0.95274,3.00189,3.47732,1.32694,0.00456,0.95,0.07457,0.03751,0.00383,0.9,0.0745,0.04507,0.78005,1.70124,3.96827,1.29427,1.089e-05,1.089e-05,1.089e-05
3,29.4688,0.99515,3.11554,3.44557,1.42808,0.0048,0.95,0.09048,0.04669,0.004,0.9,0.08859,0.05598,0.75742,1.63445,3.94141,1.2731,2.13401e-05,2.13401e-05,2.13401e-05
4,36.4059,0.92038,2.4466,3.32828,1.28885,0.00524,0.95,0.09731,0.05051,0.00431,0.9,0.09422,0.06222,0.71397,1.61523,3.92393,1.24082,3.13502e-05,3.13502e-05,3.13502e-05
5,43.5305,0.76851,2.67372,3.40177,1.28607,0.00584,0.95,0.12561,0.06976,0.00475,0.9,0.1241,0.08465,0.68896,1.54154,3.88923,1.21998,4.09204e-05,4.09204e-05,4.09204e-05
6,50.5834,0.84441,2.31782,3.3733,1.23032,0.00653,0.95,0.17567,0.10928,0.00527,0.9,0.17102,0.12207,0.64753,1.45517,3.89001,1.18803,5.00506e-05,5.00506e-05,5.00506e-05
7,57.4194,0.89808,2.21549,3.31552,1.29286,0.00722,0.95,0.19571,0.14199,0.00582,0.9,0.19114,0.14896,0.63205,1.39888,3.87428,1.14699,5.87408e-05,5.87408e-05,5.87408e-05
8,64.3429,0.86424,2.30897,3.34797,1.30464,0.00844,0.95,0.24268,0.1826,0.00675,0.9,0.23856,0.1907,0.59501,1.40793,3.86713,1.1257,6.69911e-05,6.69911e-05,6.69911e-05
9,71.5449,1.1313,2.50299,3.40975,1.6091,0.00948,0.95,0.25858,0.19472,0.00758,0.9,0.25668,0.19805,0.58432,1.37442,3.86889,1.12023,7.48014e-05,7.48014e-05,7.48014e-05
10,78.6919,0.90073,2.01875,3.24804,1.30808,0.01019,0.95,0.27382,0.20985,0.00819,0.9,0.27119,0.21192,0.59766,1.36469,3.85135,1.128,8.21718e-05,8.21718e-05,8.21718e-05
11,85.9628,0.74142,1.36228,3.04966,1.14887,0.01069,0.95,0.29985,0.22995,0.01069,0.95,0.29818,0.2236,0.58194,1.33488,3.85333,1.10856,8.91022e-05,8.91022e-05,8.91022e-05
12,93.0682,0.65853,1.19599,3.00614,1.16522,0.01105,0.95,0.32845,0.24845,0.01105,0.95,0.32718,0.24273,0.54036,1.30632,3.82016,1.07277,9.55927e-05,9.55927e-05,9.55927e-05
13,100.286,0.62933,1.24451,2.87753,1.0946,0.01129,0.95,0.34,0.26478,0.01129,0.95,0.33895,0.26793,0.4998,1.28436,3.81235,1.03649,0.000101643,0.000101643,0.000101643
14,107.394,0.75527,1.47644,2.80461,1.29106,0.01188,0.95,0.3472,0.28058,0.01188,0.95,0.34684,0.27697,0.49488,1.24024,3.78567,1.00867,0.000107254,0.000107254,0.000107254
15,114.463,0.83016,1.44404,2.95826,1.16779,0.01128,0.95,0.36464,0.30664,0.01128,0.95,0.36464,0.30504,0.49356,1.21323,3.75043,0.99892,0.000112424,0.000112424,0.000112424
16,121.795,0.73221,1.64889,2.79193,1.14389,0.01076,0.95,0.38205,0.31625,0.01076,0.95,0.38205,0.31945,0.48797,1.15407,3.72838,0.98677,0.000117155,0.000117155,0.000117155
17,128.962,0.66658,1.78102,2.64067,1.13532,0.01095,0.95,0.34662,0.30371,0.01095,0.95,0.34662,0.29435,0.48349,1.1247,3.70711,0.97607,0.000121446,0.000121446,0.000121446
18,136.084,0.69586,1.0044,2.59086,1.18883,0.01095,0.95,0.34662,0.30371,0.01095,0.95,0.34662,0.29435,0.48349,1.1247,3.70711,0.97607,0.000125296,0.000125296,0.000125296
19,143.189,0.80418,1.43134,2.72538,1.22049,0.01106,0.95,0.41118,0.36404,0.01106,0.95,0.41118,0.33992,0.44418,1.07684,3.66569,0.95182,0.000128707,0.000128707,0.000128707
20,150.298,0.81821,1.33117,2.56448,1.24262,0.01106,0.95,0.41118,0.36404,0.01106,0.95,0.41118,0.33992,0.44418,1.07684,3.66569,0.95182,0.000131678,0.000131678,0.000131678
21,157.526,0.74723,1.294,2.52374,1.10331,0.0108,0.95,0.44837,0.38415,0.0108,0.95,0.44837,0.36449,0.43705,1.0591,3.6387,0.94131,0.000134209,0.000134209,0.000134209
22,164.755,0.98317,1.90481,2.51172,1.30954,0.0108,0.95,0.44837,0.38415,0.0108,0.95,0.44837,0.36449,0.43705,1.0591,3.6387,0.94131,0.0001363,0.0001363,0.0001363
23,171.982,0.81094,1.38421,2.6839,1.22037,0.01089,0.95,0.51995,0.42002,0.01089,0.95,0.51995,0.42405,0.41788,1.0987,3.60339,0.94123,0.000137951,0.000137951,0.000137951
24,179.13,0.58591,1.08635,2.70668,1.05732,0.01089,0.95,0.51995,0.42002,0.01089,0.95,0.51995,0.42405,0.41788,1.0987,3.60339,0.94123,0.000139162,0.000139162,0.000139162
25,186.404,0.67166,1.25621,2.62089,1.16607,0.01133,0.95,0.50405,0.41103,0.01133,0.95,0.50405,0.40103,0.41264,1.10717,3.58315,0.94431,0.000139933,0.000139933,0.000139933
26,193.51,0.83863,1.12444,2.49693,1.29269,0.01133,0.95,0.50405,0.41103,0.01133,0.95,0.50405,0.40103,0.41264,1.10717,3.58315,0.94431,0.000140264,0.000140264,0.000140264
27,200.779,0.77215,1.46782,2.6286,1.31457,0.01241,1,0.55211,0.47945,0.01241,1,0.55002,0.43727,0.41265,1.15922,3.57792,0.93905,0.000140155,0.000140155,0.000140155
28,207.928,0.68735,1.03899,2.40255,1.11966,0.01241,1,0.55211,0.47945,0.01241,1,0.55002,0.43727,0.41265,1.15922,3.57792,0.93905,0.000139606,0.000139606,0.000139606
